latitude,longitude,month,day,avg_temp,max_temp,max_wind_speed,avg_wind,burned_area
37.1966927,127.2516952,02-Feb,00-sun,-8.9,-4.2,8.1,2,0.15
37.3175819,127.19383,06-Jun,02-tue,24.4,33.2,7.6,1,0.3
37.9730261,126.9647011,03-Mar,03-wed,10.3,18.8,8.6,1.9,0.03
37.8869528,126.8350758,03-Mar,00-sun,7.2,14.9,11.4,1.8,0.09
36.8784114,127.1100143,03-Mar,02-tue,8.9,15.4,9.8,2.3,0.16
37.8274696,126.7490628,02-Feb,01-mon,-0.9,8.8,6.7,1,0.09
37.9003253,126.8525646,02-Feb,01-mon,-0.9,8.8,6.7,1,0.08
37.9438157,126.9292165,02-Feb,01-mon,-0.9,8.8,6.7,1,0.1
36.9434114,126.9461518,03-Mar,02-tue,11.1,19.1,10.3,2.6,0.08
37.9730817,127.1215395,04-Apr,04-thu,11.6,20.6,12.3,2.8,0.1
38.1450215,127.262043,03-Mar,05-fri,13.2,21.4,10.5,1.9,1.5
37.933342,127.1727778,02-Feb,05-fri,-3.3,4.5,9.7,2,0.5
37.1893283,126.8864412,12-Dec,05-fri,-9.8,-5.4,7.3,1.1,0.02
37.0835475,126.8301005,08-Aug,01-mon,28.1,33.3,7.5,2.5,0.01
37.2491066,126.9152919,06-Jun,06-sat,22.2,29.7,6.6,1.2,0.08
37.3949817,126.9380151,04-Apr,01-mon,17.2,23.7,8.3,1.7,0.09
37.0882264,126.8390574,03-Mar,02-tue,12.5,17.2,9.9,3.1,0.16
37.2665373,126.9057084,03-Mar,01-mon,6.4,15.7,5.8,1.1,0.03
37.2188339,126.840677,02-Feb,00-sun,1,7.1,5.2,0.9,0.6
37.1681912,126.9299173,02-Feb,01-mon,0.9,6.5,4.5,1,0.01
37.0641627,126.8557941,02-Feb,06-sat,-1,3.4,7.9,1.7,0.2
37.0733123,126.7976385,02-Feb,01-mon,-8.6,-5,8.1,1.7,0.01
37.6991652,127.0546011,03-Mar,04-thu,7.8,15.1,6.7,1.2,0.5
37.6991652,127.0546011,03-Mar,03-wed,6.4,14.5,9,1.3,0.02
37.7577758,126.9085657,11-Nov,05-fri,-0.3,3.2,5.8,1.3,0.03
37.9607953,126.9279008,05-May,03-wed,17.9,29.1,6.9,1.2,0.01
37.8485674,126.9066235,05-May,03-wed,17.9,29.1,6.9,1.2,0.2
37.9377859,126.9185078,04-Apr,03-wed,11.4,18,8.3,2,0.03
37.8837054,126.8209036,04-Apr,02-tue,10.1,20.3,7.2,1.3,0.15
37.8567175,126.8532669,04-Apr,00-sun,6.9,16.2,7.6,1.3,0.02
37.842072,126.7623286,03-Mar,06-sat,6.4,15.8,8.4,1.3,0.05
36.9712534,126.8980093,06-Jun,04-thu,22.7,30.5,8.4,2.3,0.16
37.9748188,127.0994434,04-Apr,01-mon,12.8,22.2,10.5,2.6,0.01
38.0298515,127.2903507,04-Apr,06-sat,12.8,22.2,9.1,1.9,0.3
37.8962258,127.2392645,04-Apr,03-wed,10,17.5,14.1,3.6,0.03
38.0708453,127.2424236,04-Apr,01-mon,9.4,20.7,8.3,2.2,0.3
37.8959101,127.2786864,03-Mar,00-sun,7.2,19.1,4.8,0.9,0.03
37.923409,127.3189485,03-Mar,06-sat,7.8,16.9,9.9,2,0.03
37.9284185,127.1758073,01-Jan,04-thu,-2.9,5.2,4.2,1,0.05
37.2207157,126.7119339,06-Jun,05-fri,23.9,31.9,6.4,1.3,0.3
37.236725,126.9113735,06-Jun,06-sat,22.4,28.2,6.2,1.4,0.06
37.1366203,126.7028005,05-May,02-tue,19.2,23.9,5.8,1.1,0.01
37.1206723,126.6089504,05-May,06-sat,13.7,20.1,11,2.2,0.13
37.2281655,126.9754248,05-May,06-sat,13.7,20.1,11,2.2,0.5
37.18373,126.6916221,05-May,06-sat,13.7,20.1,11,2.2,0.06
37.1624753,126.7108676,04-Apr,00-sun,17.5,26.9,7.6,1.8,0.1
37.2166514,126.7446102,04-Apr,03-wed,14.2,20.5,7.5,1.7,0.15
37.1681098,126.7235494,04-Apr,00-sun,13.2,21.2,6.4,1.4,0.15
37.2663924,126.9149532,04-Apr,03-wed,11.1,15.3,7.6,2.1,0.1
37.1334563,127.0060965,04-Apr,02-tue,12.9,21.4,5.8,1.3,0.01
37.3949817,126.9380151,04-Apr,01-mon,9.5,18.5,7.4,1.3,2.5
37.1891303,126.7066841,04-Apr,01-mon,9.5,18.5,7.4,1.3,0.3
37.2215131,126.9317136,04-Apr,06-sat,8.1,14.5,6.3,1.3,0.2
37.2246661,126.781193,03-Mar,04-thu,7.8,16.3,5.6,1.2,0.3
37.1835331,126.7489921,03-Mar,02-tue,6.5,12.8,5.4,1.2,0.5
37.2821179,126.6326677,03-Mar,02-tue,6.5,12.8,5.4,1.2,0.01
37.1986721,126.7086268,03-Mar,01-mon,6.4,11.1,7,1.5,0.3
37.1520917,126.9090508,03-Mar,03-wed,6.3,13,6.3,1.3,0.4
37.1771593,126.9543391,03-Mar,06-sat,7.7,16.2,5.6,1,0.3
37.1244373,126.9590864,03-Mar,05-fri,6.2,15.1,5.5,1,0.05
37.2014444,126.726854,03-Mar,06-sat,6.2,16,6,1.3,0.03
37.1962369,126.6973663,03-Mar,06-sat,6.2,16,6,1.3,0.09
37.1419401,126.8797319,03-Mar,06-sat,6.2,16,6,1.3,0.5
37.2122748,126.6807981,03-Mar,05-fri,4.5,11.3,5.2,1.2,0.3
37.2460586,126.8525939,03-Mar,04-thu,3.1,9.6,8.6,1.8,0.01
37.2460586,126.8525939,03-Mar,03-wed,0.6,6.4,8.3,1.7,0.16
37.3956115,126.5316798,02-Feb,04-thu,6.6,12.8,8.5,2.2,0.2
37.2809739,126.8959407,02-Feb,00-sun,-2.2,4,6.8,1,0.3
37.8674761,127.352523,07-Jul,01-mon,26.9,34.4,4.9,0.7,0.01
37.7155221,127.5486724,04-Apr,06-sat,12.7,22.6,6.2,1.2,0.1
37.7855124,127.3045174,04-Apr,06-sat,12.7,22.6,6.2,1.2,0.7
37.8687529,127.5315947,04-Apr,06-sat,12.9,22.7,9,1.7,7
37.9090685,127.5589695,03-Mar,06-sat,10.5,18.6,6.6,1.2,0.02
37.6202382,127.5106074,03-Mar,06-sat,10.5,18.6,6.6,1.2,0.03
37.6612583,127.5162321,03-Mar,03-wed,5.1,13.9,8.3,1.6,0.1
37.7884111,127.4254162,02-Feb,06-sat,1.1,7.2,7.7,1.2,0.01
37.6930377,127.4811806,02-Feb,00-sun,-1.9,3,9.3,2.1,0.01
37.7731463,127.5107932,02-Feb,00-sun,-6.7,2.6,6.1,1,0.02
37.8674761,127.352523,01-Jan,01-mon,-12.8,-4.3,5.7,1.1,0.01
37.8600908,127.5070987,01-Jan,00-sun,-15.4,-10.6,7.5,1.9,0.04
37.5907317,126.75949,12-Dec,03-wed,7.6,15.3,10,1,0.06
37.6318165,126.9234199,09-Sep,01-mon,21.7,29.3,5.9,0.8,0.01
37.6386333,126.8438262,04-Apr,01-mon,10.9,21.3,8.4,1.2,0.39
37.4590823,127.0007057,12-Dec,04-thu,4.9,8.3,12.3,3.1,0.03
37.4593175,126.9993292,11-Nov,02-tue,0.1,8,4.7,0.7,0.06
37.4367841,126.9726094,06-Jun,01-mon,22.7,27.5,6.5,1.9,0.6
37.3627809,127.200573,06-Jun,00-sun,22.3,29.4,5.4,1.2,0.06
37.3860181,127.3426481,05-May,06-sat,18.7,26,7.4,1.7,0.13
37.3998101,127.3201104,04-Apr,03-wed,13.4,22.7,7.6,1.4,0.6
37.3936686,127.2788002,04-Apr,06-sat,14,22.8,8.6,1.8,1
37.3471619,127.2811887,04-Apr,06-sat,14,22.8,8.6,1.8,2
37.438732,127.2213484,04-Apr,05-fri,14.2,24.6,7,1.4,0.3
37.3840876,127.4391443,04-Apr,05-fri,14.2,24.6,7,1.4,2.6
37.378788,127.2872754,03-Mar,03-wed,10.8,19,10.5,1.3,0.1
37.4708543,127.3289107,03-Mar,01-mon,7.8,17.1,6.2,1.2,0.3
37.4149252,127.2063175,03-Mar,05-fri,10.8,18.1,5.4,2,0.1
37.4001067,127.1492383,02-Feb,05-fri,2,7.2,7.7,1.3,2.7
37.4045232,127.1846835,02-Feb,03-wed,0.9,9.4,5.2,1.3,0.6
37.4774942,127.3099077,01-Jan,05-fri,-2,3.2,3.9,1.3,0.06
37.4363734,127.2420921,01-Jan,01-mon,-3.9,0.7,5.7,1.1,0.03
37.5149096,127.2931632,11-Nov,04-thu,-2.6,3.2,6.6,1.1,0.03
37.6372611,127.1860459,04-Apr,05-fri,13.9,23.6,8.2,1.5,0.08
37.6926906,127.3020125,03-Mar,03-wed,11.3,19.4,9.7,1.6,0.8
37.542457,127.2532502,03-Mar,04-thu,6.3,13,8.4,1.1,0.5
37.6494309,127.2285942,02-Feb,03-wed,-4.4,4.4,7.1,1,0.15
37.5680356,127.238025,01-Jan,01-mon,-5.4,0.2,12.5,2.5,0.2
37.6628382,127.3645296,01-Jan,00-sun,-0.4,5.4,6.9,1.1,0.2
37.8196761,127.0068469,04-Apr,01-mon,11.9,20.8,6.6,1.6,0.06
37.8205017,127.0133898,02-Feb,05-fri,-3.1,5,9.3,1.5,0.13
37.3611998,127.0681661,06-Jun,04-thu,22.6,29.4,5.5,0.8,0.1
37.4247976,127.0124289,01-Jan,02-tue,-1.5,2,5.1,1.1,0.1
